direction,date,departure,departure_ms,changes,platform,delay,duration,offer_icon,offer_header,offer_message,cheapest_single,cheap_rtn_1,cheap_rtn_2
outbound,11/9/2015,05:26,19560000,0,6,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,05:34,20040000,0,6,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,06:20,22800000,0,6,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,06:34,23640000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,06:43,24180000,0,2,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:03,25380000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:13,25980000,0,6,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:23,26580000,0,2,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:43,27780000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:49,28140000,0,6,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,07:54,28440000,0,6,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,08:03,28980000,0,2,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,08:23,30180000,0,2,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,08:43,31380000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,08:49,31740000,0,6,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,09:03,32580000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,09:13,33180000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,09:23,33780000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,09:43,34980000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,09:49,35340000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,10:03,36180000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,10:13,36780000,0,1,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,10:23,37380000,0,2,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,10:43,38580000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,10:49,38940000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,11:03,39780000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,11:13,40380000,0,2,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,11:23,40980000,0,2,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,11:43,42180000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,11:49,42540000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,12:03,43380000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,12:13,43980000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,12:23,44580000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,12:43,45780000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,12:49,46140000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,13:03,46980000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,13:13,47580000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,13:23,48180000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,13:43,49380000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,13:49,49740000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,14:03,50580000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,14:13,51180000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,14:23,51780000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,14:43,52980000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,14:49,53340000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:03,54180000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:13,54780000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:23,55380000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:43,56580000,0,2,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:49,56940000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,15:54,57240000,0,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,16:03,57780000,0,2,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,16:23,58980000,0,4,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,16:43,60180000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,16:50,60600000,0,6,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:03,61380000,0,4,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:13,61980000,0,6,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:23,62580000,0,2,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:24,62640000,0,6,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:43,63780000,0,4,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,17:49,64140000,0,6,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:03,64980000,0,2,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:13,65580000,0,6,,7,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:16,65760000,0,6,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:23,66180000,0,4,,9,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:43,67380000,0,2,,8,,,,5.00,FALSE,FALSE
outbound,11/9/2015,18:52,67920000,0,6,,10,,,,5.00,FALSE,FALSE
outbound,11/9/2015,19:03,68580000,0,2,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:07,68820000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:13,69180000,0,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:23,69780000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:43,70980000,0,2,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:49,71340000,0,6,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,19:54,71640000,0,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,20:03,72180000,0,2,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,20:07,72420000,0,4,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,20:23,73380000,0,2,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,20:43,74580000,0,2,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,20:49,74940000,0,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,21:03,75780000,0,4,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,21:10,76200000,1,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,21:13,76380000,0,6,,10,,,,3.20,FALSE,FALSE
outbound,11/9/2015,21:43,78180000,0,4,,7,,,,3.20,FALSE,FALSE
outbound,11/9/2015,21:49,78540000,0,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,22:00,79200000,1,6,,9,,,,3.20,FALSE,FALSE
outbound,11/9/2015,22:30,81000000,0,6,,8,,,,3.20,FALSE,FALSE
outbound,11/9/2015,23:30,84600000,0,6,,10,,,,3.20,FALSE,FALSE
returning,12/9/2015,05:38,20280000,1,2,,7,,,,3.20,FALSE,FALSE
returning,12/9/2015,05:46,20760000,0,2,,8,,,,3.20,FALSE,FALSE
returning,12/9/2015,06:32,23520000,0,2,,9,,,,3.20,FALSE,FALSE
returning,12/9/2015,06:46,24360000,0,2,,8,,,,3.20,FALSE,FALSE
returning,12/9/2015,06:55,24900000,0,3,,10,,,,3.20,FALSE,FALSE
returning,12/9/2015,07:15,26100000,0,3,,7,,,,3.20,FALSE,FALSE
returning,12/9/2015,07:25,26700000,0,2,,8,,,,3.20,FALSE,FALSE
returning,12/9/2015,07:35,27300000,0,3,,9,,,,3.20,FALSE,FALSE
returning,12/9/2015,07:55,28500000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,08:01,28860000,0,2,,132,,,,3.20,FALSE,FALSE
returning,12/9/2015,08:06,29160000,0,2,,143,,,,3.20,FALSE,FALSE
returning,12/9/2015,08:15,29700000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,08:35,30900000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,08:55,32100000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,09:01,32460000,0,2,,132,,,,3.20,FALSE,FALSE
returning,12/9/2015,09:15,33300000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,09:25,33900000,0,2,,124,,,,3.20,FALSE,FALSE
returning,12/9/2015,09:35,34500000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,09:55,35700000,0,3,,85,,,,3.20,FALSE,FALSE
